City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
251,victoria,22.2855,114.1577,19.1,81,17,4.47,HK,1675430552
252,saint anthony,45.0205,-93.218,-23.97,61,20,2.06,US,1675430553
253,iguape,-24.7081,-47.5553,26.99,69,100,4.5,BR,1675430553
254,margherita,27.2833,95.6833,19.25,37,3,1.63,IN,1675430553
255,saint-pierre,-21.3393,55.4781,27.82,78,72,11.32,RE,1675430554
256,mabaruma,8.2,-59.7833,24.63,91,23,1.83,GY,1675430554
257,ballitoville,-29.539,31.2144,27.36,73,40,3.6,ZA,1675430555
258,ambon,-3.6954,128.1814,25.08,94,40,2.57,ID,1675430555
259,lebu,-37.6167,-73.65,18.39,68,0,8.71,CL,1675430556
260,calpulalpan,19.5833,-98.5833,4.77,89,77,2.69,MX,1675430556
261,portree,57.4129,-6.1942,9.73,97,100,5.71,GB,1675430556
262,college,64.8569,-147.8028,-14.03,81,100,0.0,US,1675430286
263,iskateley,67.6803,53.1512,-13.48,96,58,4.26,RU,1675430557
264,constitucion,-35.3333,-72.4167,20.37,60,0,3.64,CL,1675430558
265,burley,42.5357,-113.7928,-6.5,78,0,5.14,US,1675430558
266,bogorodskoye,56.55,37.8833,-0.9,93,100,4.51,RU,1675430558
267,hambantota,6.1241,81.1185,25.8,85,38,5.63,LK,1675430559
268,aklavik,68.2191,-135.0107,-27.55,92,100,0.99,CA,1675430559
269,popondetta,-8.7537,148.2534,23.93,92,100,1.21,PG,1675430559
270,alugan,12.2188,125.4808,25.95,85,90,7.17,PH,1675430560
271,bobo dioulasso,11.1771,-4.2979,34.25,8,0,3.6,BF,1675430560
272,okha,53.5739,142.9478,-26.74,98,86,4.63,RU,1675430561
273,sao miguel do araguaia,-13.275,-50.1628,27.05,77,100,1.41,BR,1675430561
274,dargaville,-35.9333,173.8833,20.05,97,100,2.31,NZ,1675430451
275,ponta do sol,32.6667,-17.1,18.35,42,55,3.4,PT,1675430562
276,banjar,-8.19,114.9675,25.4,91,100,0.88,ID,1675430562
277,werda,-25.2667,23.2833,33.02,28,63,3.2,BW,1675430563
278,shizuishan,39.2333,106.7694,-3.74,28,2,0.85,CN,1675430563
279,port keats,-14.25,129.55,28.79,81,100,5.31,AU,1675430563
280,berezovka,53.7214,25.4993,-0.58,76,100,1.85,BY,1675430564
281,port-cartier,50.0334,-66.8654,-15.88,79,10,8.17,CA,1675430564
282,kaili,-3.4626,120.2147,19.72,93,100,1.17,ID,1675430565
283,matagami,49.7502,-77.6328,-36.94,67,40,4.63,CA,1675430565
284,madang,-5.2246,145.7966,25.2,92,100,0.87,PG,1675430566
285,terrak,65.087,12.3715,-0.07,81,4,3.37,NO,1675430566
286,opuwo,-18.0607,13.84,27.43,27,84,2.34,NA,1675430493
287,cam ranh,11.9214,109.1591,24.98,83,20,3.6,VN,1675430567
288,ahipara,-35.1667,173.1667,20.42,95,100,3.17,NZ,1675430567
289,asyut,27.181,31.1837,18.1,25,0,4.9,EG,1675430568
290,bonavista,48.6499,-53.1147,-1.58,81,100,10.9,CA,1675430568
291,tawau,4.2498,117.8871,24.07,84,100,2.18,MY,1675430569
292,la crosse,43.8014,-91.2396,-20.88,59,20,4.12,US,1675430313
293,irtyshskiy,58.3333,68.1333,-14.2,96,95,1.92,RU,1675430569
294,aswan,24.0934,32.907,22.61,26,0,2.57,EG,1675430570
295,arlit,18.7369,7.3853,33.83,9,99,5.7,NE,1675430570
296,ndioum,16.5129,-14.6471,30.39,8,100,4.7,SN,1675430571
297,rorvik,64.8621,11.2373,-2.94,74,0,4.12,NO,1675430370
298,maneadero,31.7167,-116.5667,13.37,41,100,1.62,MX,1675430571
299,sambava,-14.2667,50.1667,28.35,72,8,5.31,MG,1675430572
300,akyab,20.15,92.9,22.92,59,34,6.38,MM,1675430572
301,eyrarbakki,63.863,-21.1481,3.45,90,100,14.85,IS,1675430572
302,takoradi,4.8845,-1.7554,30.49,62,6,4.5,GH,1675430141
303,sisimiut,66.9395,-53.6735,-15.93,88,100,3.52,GL,1675430573
304,karlstad,59.3793,13.5036,-2.69,74,0,5.14,SE,1675430573
305,talnakh,69.4865,88.3972,-11.36,96,100,1.96,RU,1675430574
306,goderich,43.7501,-81.7165,-11.16,78,100,10.29,CA,1675430533
307,chateaubelair,13.2833,-61.25,26.29,69,40,6.17,VC,1675430574
308,santa isabel do para,-1.2986,-48.1606,27.9,70,100,1.98,BR,1675430575
309,isla mujeres,21.2311,-86.731,24.03,80,0,2.08,MX,1675430575
310,egra,50.0796,12.3739,5.71,100,100,9.37,CZ,1675430576
311,tazovskiy,67.4667,78.7,-21.44,100,85,2.15,RU,1675430576
312,tonekabon,36.8163,50.8738,13.97,78,49,2.44,IR,1675430576
313,nouadhibou,20.931,-17.0347,22.99,28,100,5.14,MR,1675430399
314,saint-augustin,51.226,-58.6502,-5.23,96,100,9.64,CA,1675430577
315,karlskrona,56.1616,15.5866,1.25,97,100,9.58,SE,1675430577
316,sovetskiy,61.3614,63.5842,-13.25,99,99,1.58,RU,1675430578
317,grand-lahou,5.1367,-5.0242,30.45,61,6,3.4,CI,1675430578
318,bom jesus,-9.0744,-44.3586,28.71,62,99,2.33,BR,1675430579
319,champerico,14.3,-91.9167,22.3,70,6,2.93,GT,1675430579
320,klaksvik,62.2266,-6.589,4.51,90,100,7.79,FO,1675430580
321,emerald,-23.5333,148.1667,26.3,68,100,3.9,AU,1675430580
322,makakilo city,21.3469,-158.0858,21.98,83,100,1.54,US,1675430580
323,poopo,-18.3667,-66.9667,10.43,55,100,2.76,BO,1675430581
324,sioux lookout,50.1001,-91.917,-35.96,75,0,1.54,CA,1675430448
325,afyonkarahisar,38.75,30.6667,4.59,48,75,3.09,TR,1675430581
326,launceston,-41.45,147.1667,12.31,79,75,3.6,AU,1675430582
327,ixtapa,20.7,-105.2,18.46,94,0,0.0,MX,1675430584
328,port angeles,48.1181,-123.4307,7.58,88,0,1.54,US,1675430503
329,roald,62.5833,6.1333,3.52,65,20,5.14,NO,1675430586
330,minab,27.1467,57.0801,22.88,63,0,3.67,IR,1675430587
331,saint george,37.1041,-113.5841,1.33,69,0,0.0,US,1675430588
332,lavrentiya,65.5833,-171.0,-25.03,92,63,3.93,RU,1675430589
333,lasa,46.6166,10.7002,11.12,65,60,3.79,IT,1675430590
334,aljezur,37.3191,-8.8033,17.18,38,0,0.3,PT,1675430591
335,torbay,47.6666,-52.7314,-1.35,85,100,5.14,CA,1675430592
336,puerto escondido,15.85,-97.0667,22.46,83,0,3.6,MX,1675430593
337,mandalgovi,45.7625,106.2708,-10.62,47,0,4.09,MN,1675430594
338,mascote,-15.5631,-39.3025,31.18,46,0,1.16,BR,1675430595
339,yatou,37.15,122.3833,-1.15,59,0,1.2,CN,1675430597
340,meulaboh,4.1363,96.1285,25.93,80,100,1.48,ID,1675430598
341,kutum,14.2,24.6667,26.66,9,4,4.67,SD,1675430600
342,itaituba,-4.2761,-55.9836,28.09,78,40,2.57,BR,1675430601
343,pisco,-13.7,-76.2167,22.03,88,0,1.03,PE,1675430609
344,poyarkovo,49.6,128.6833,-28.08,99,40,1.28,RU,1675430610
345,havoysund,70.9963,24.6622,-3.87,65,100,1.25,NO,1675430552
346,russell,32.3502,-85.1999,8.6,87,20,4.12,US,1675430611
